Italy.Soil.It.Sw11.1.ITS1o	Italy.Soil.Sw.It41.3.ITS1o	Italy.Soil.It.Sw47.2.ITS1o	Italy.Root.Sw.Sw47.1.ITS1o	Italy.Root.Sw.It32.1.ITS1o	Italy.Root.Sw.It15.1.ITS1o	Italy.Soil.Sw.Sw47.1.ITS1o	Italy.Soil.Sw.It15.3.ITS1o	Italy.Soil.Sw.It41.1.ITS1o	Italy.Soil.Sw.It24.1.ITS1o	Italy.Root.Sw.Sw47.3.ITS1o	Italy.Soil.It.Sw43.1.ITS1o	Italy.Soil.Sw.It41.2.ITS1o	Italy.Root.Sw.It32.3.ITS1o	Italy.Soil.It.It15.2.ITS1o	Italy.Soil.Sw.It32.3.ITS1o	Italy.Soil.Sw.Sw7.2.ITS1o	Italy.Soil.It.It32.3.ITS1o	Italy.Root.Sw.Sw11.3.ITS1o	Italy.Soil.It.Sw47.1.ITS1o	Italy.Root.Sw.It24.1.ITS1o	Italy.Soil.It.It41.2.ITS1o	Italy.Soil.Sw.Sw47.2.ITS1o	Italy.Soil.Sw.It24.3.ITS1o	Italy.Root.Sw.It24.3.ITS1o	Italy.Soil.It.It41.3.ITS1o	Italy.Root.Sw.It32.2.ITS1o	Italy.Root.Sw.Sw11.1.ITS1o	Italy.Soil.Sw.Sw47.3.ITS1o	Italy.Soil.Sw.It15.1.ITS1o	Italy.Soil.It.It32.1.ITS1o	Italy.Soil.Sw.It32.2.ITS1o	Italy.Root.Sw.Sw43.2.ITS1o	Italy.Soil.Sw.It24.2.ITS1o	Italy.Soil.It.It24.1.ITS1o	Italy.Root.Sw.It41.3.ITS1o	Italy.Root.Sw.It15.2.ITS1o	Italy.Soil.It.It24.2.ITS1o	Italy.Soil.It.Sw11.2.ITS1o	Italy.Soil.Sw.It15.2.ITS1o	Italy.Root.Sw.It41.1.ITS1o	Italy.Root.Sw.It15.3.ITS1o	Italy.Root.Sw.It41.2.ITS1o	Italy.Soil.It.It15.3.ITS1o	Italy.Soil.It.Sw7.2.ITS1o	Italy.Soil.It.It15.1.ITS1o	Italy.Soil.Sw.Sw11.2.ITS1o	Italy.Soil.Sw.Sw11.1.ITS1o	Italy.Root.Sw.It24.2.ITS1o	Italy.Soil.It.Sw7.1.ITS1o	Italy.Soil.It.It32.2.ITS1o	Italy.Soil.It.Sw47.3.ITS1o	Italy.Soil.Sw.Sw7.1.ITS1o	Italy.Soil.It.Sw43.2.ITS1o	Italy.Soil.Sw.Sw43.1.ITS1o	Italy.Root.Sw.Sw7.2.ITS1o	Italy.Root.Sw.Sw7.1.ITS1o	Italy.Soil.It.It24.3.ITS1o	Italy.Soil.It.It41.1.ITS1o	Italy.Soil.Sw.It32.1.ITS1o	Italy.Soil.Sw.Sw7.3.ITS1o	Italy.Root.Sw.Sw43.3.ITS1o	Italy.Root.Sw.Sw7.3.ITS1o	Italy.Soil.It.Sw7.3.ITS1o	Italy.Root.Sw.Sw47.2.ITS1o	Italy.Root.Sw.Sw43.1.ITS1o	Italy.Soil.Sw.Sw11.3.ITS1o	Italy.Soil.Sw.Sw43.2.ITS1o	Italy.Soil.It.Sw43.3.ITS1o	Italy.Soil.Sw.Sw43.3.ITS1o	Italy.Soil.It.Sw11.3.ITS1o	Italy.Root.Sw.Sw11.2.ITS1o	Sweden.Root.It.Sw.4.ITS1o	Sweden.Root.It.Sw.3.ITS1o	Sweden.Root.It.Sw.5.ITS1o	Italy.Root.It.Sw11.3.ITS1o	Italy.Root.It.It24.1.ITS1o	Italy.Root.It.It24.3.ITS1o	Italy.Root.It.It32.2.ITS1o	Italy.Root.It.It15.3.ITS1o	Italy.Root.It.Sw7.1.ITS1o	Sweden.Root.It.Sw.2.ITS1o	Italy.Root.It.Sw43.1.ITS1o	Italy.Root.It.Sw47.1.ITS1o	Italy.Root.It.Sw11.2.ITS1o	Italy.Root.It.Sw7.2.ITS1o	Italy.Root.It.It15.1.ITS1o	Sweden.Root.Sw.Sw.6.ITS1o	Italy.Root.It.Sw7.3.ITS1o	Sweden.DP.Soil.It.It.2.ITS1o	Sweden.Soil.It.Sw.2.ITS1o	Italy.Root.It.Sw11.1.ITS1o	Italy.Root.It.Sw47.3.ITS1o	Italy.Root.It.It41.3.ITS1o	Sweden.Root.It.Sw.1.ITS1o	Sweden.Soil.Sw.Sw.3.ITS1o	Italy.Root.It.Sw43.3.ITS1o	Italy.Root.It.It32.1.ITS1o	Italy.Root.It.It41.1.ITS1o	Italy.Root.It.It41.2.ITS1o	Sweden.Soil.It.Sw.1.ITS1o	Italy.Root.It.It15.2.ITS1o	Italy.Soil.Unplanted.Swe2.ITS1o	Italy.Root.It.It24.2.ITS1o	Italy.Soil.Unplanted.Ita.2.ITS1o	Sweden.Root.Sw.Sw.4.ITS1o	Sweden.Root.Sw.Sw.5.ITS1o	Sweden.Root.Sw.Sw.3.ITS1o	Sweden.Root.Sw.Sw.1.ITS1o	Sweden.DP.Soil.It.Sw.3.ITS1o	Sweden.Root.It.Sw.6.ITS1o	Sweden.DP.Soil.Sw.Sw.1.ITS1o	Sweden.Soil.Sw.Sw.2.ITS1o	Sweden.DP.Soil.Sw.Sw.2.ITS1o	Sweden.Soil.It.Sw.4.ITS1o	Sweden.DP.Soil.It.Sw.1.ITS1o	Sweden.DP.Soil.Sw.It.2.ITS1o	Sweden.Soil.It.Sw.6.ITS1o	Italy.Soil.Unplanted.Swe3.ITS1o	Italy.Soil.Unplanted.Ita.1.ITS1o	Sweden.Soil.It.Sw.5.ITS1o	Sweden.Soil.It.Sw.3.ITS1o	Sweden.Soil.Unplanted.It.2.ITS1o	Sweden.Root.Sw.Sw.2.ITS1o	Italy.Root.It.It32.3.ITS1o	Italy.Soil.Unplanted.Swe1.ITS1o	Sweden.DP.Soil.Sw.It.1.ITS1o	Sweden.Soil.Sw.Sw.1.ITS1o	Italy.Root.It.Sw47.2.ITS1o	Sweden.Soil.Unplanted.Sw.3.ITS1o	Sweden.Soil.Sw.Sw.5.ITS1o	Sweden.Soil.Sw.Sw.4.ITS1o	Sweden.DP.Soil.Sw.It.3.ITS1o	Sweden.DP.Soil.Sw.Sw.3.ITS1o	Sweden.Soil.Unplanted.It.1.ITS1o	Sweden.Soil.Sw.Sw.6.ITS1o	Sweden.DP.Soil.It.It.3.ITS1o	Italy.Soil.Unplanted.Ita.3.ITS1o	Sweden.Soil.Unplanted.Sw.2.ITS1o	Sweden.Soil.Unplanted.Sw.1.ITS1o	Italy.Root.It.Sw43.2.ITS1o	Sweden.DP.Soil.It.Sw.2.ITS1o	Sweden.Soil.Unplanted.It.3.ITS1o	Sweden.DP.Soil.It.It.1.ITS1o
OTU_5	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	18602	0	0	8	1	1	0	0	0	0	0	1	0	0	0	6987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	0	0	0	0	1	0	0	20	0	0	10	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	1	0	0	1	0	312	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0
OTU_7	4	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	5	0	0	14972	0	0	0	0	0	0	0	1	0	0	0	0	0	0	106	1	798	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2007	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20681	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	1	0	374	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	45	0	1	1	0	1	0	1	0	0	0	2	0	314	0	0	0	0	0	0	0	0
OTU_10	0	2025	1288	0	0	0	0	2	1	1	0	1	675	0	0	0	0	0	0	1519	0	598	3	0	0	0	0	0	0	508	0	0	0	1	0	203	1	1	1	0	0	0	0	0	0	0	168	680	1	0	1	72	0	2829	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0	2	3	0	0	0	0	0	0	0	3	2	16	0	3	1	0	0	0	4	0	0	0	1	5	0	0	0	0	6	0	147	0	0	5	3	2	1	1	0	0	6	5	2	3	4	0	12	4	0	2	4	19	0	7	6	10	10	0	6	6	2	2	0	12	4	0	3	3	22	0	0	0
OTU_378	2	6	5	625	0	6029	2	1	22	1	1361	2	141	75	9	2	1271	5	507	814	0	13	172	12	4689	0	11567	2	5	6	80	9	6039	0	7	286	2334	109	13848	1369	1392	164	3982	9	784	9272	3	3067	16	3209	12	793	29	7	2	2656	1	76	478	3	8445	393	1801	21	1	3	2	1172	23	255	170	1	26	576	3	3327	2581	824	9973	1	14105	30	12	33800	2	19549	43769	19	190	63	7	1074	1681	28303	9	25	1	106	8676	3	10	13	31	331	23	32	15	23	28	5	35	159	43	16	10	56	15	69	58	23	11	9	4	19	5	56	33	58	1	7	35	30	21	8	8	23	16	20	17	8	1	5	14	13
OTU_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	1	1	0	0	1	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	48	0	1030	0	0	99	20	118	4	0	1	3594	7	0	114	1	1	0	0	563	0	1283	1	2	0	6	394	257	23	10	978	0	0	0	372	3	0	69	227	1	0	895	4	209	13	106	3	63	0	1335	222	175	1	10	453	200	0	379	30	63	5	0	0	15	0	0	3	0	1	0	0	0	0	7	5	0	257	4	103	295	2970	4	1416	7	92	504	20	0	1223	0	0	8	8	7	0	2	1	65	334	699	0	8	3	342	0	1	1	0	2	0	15	0	2	0	1	15	0	1	1	0	17	2	0	2	3	2	1	4	336	2	6	0	2	0	3	4	0	0	3	0	0	0	5	0
OTU_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0
OTU_232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3305	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	0	0	0	687	0	0	0	0	0	0	0	18	22	0	0	0	0	2	0	0	0	0	0	0	13	2	1	3	5	0	2	7	24	155	0	0	0	9	7	3	12	4	2	0	0	3	0	13	4	0	0	2	4	0	0	4	4	7	6	7	7	2	0	2	4	13
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5818	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
